Date,SGD_GDP_Billions,USD_GDP_Billions,Singapore,USA,SG_Interest_Rate,US_Interest_Rate,SP500,STI,ExchangeRate,Daily Exports(millions),Daily Imports(millions),Daily Balance(millions),FOREIGN RESERVES (US$ MILLION),GoldPrice,DXI
7/1/2005,53.7128,13142.642,0.44,2.44,1.77,3.26,1194.4,2209.949951,1.6947,51.21612903,38.3483871,12.86774194,115965.4,428.8,89.169998
7/5/2005,53.86768172,13150.45112,0.44,2.44,1.77,3.26,1205,2222.610107,1.6953,51.21612903,38.3483871,12.86774194,115976.3161,423.9,90.669998
7/6/2005,53.90640215,13152.4034,0.44,2.44,1.77,3.26,1194.9,2234.129883,1.6972,51.21612903,38.3483871,12.86774194,115979.0452,424.5,90.330002
7/7/2005,53.94512258,13154.35568,0.44,2.44,1.77,3.26,1197.9,2212.340088,1.6987,51.21612903,38.3483871,12.86774194,115981.7742,424.2,90.379997
7/8/2005,53.98384301,13156.30796,0.44,2.44,1.77,3.26,1211.9,2215.98999,1.702,51.21612903,38.3483871,12.86774194,115984.5032,423.8,90.290001
7/11/2005,54.1000043,13162.1648,0.44,2.44,1.77,3.26,1219.4,2241.189941,1.694,51.21612903,38.3483871,12.86774194,115992.6903,426.3,90.18
7/12/2005,54.13872473,13164.11708,0.44,2.44,1.77,3.26,1222.2,2235.590088,1.6856,51.21612903,38.3483871,12.86774194,115995.4194,427.1,89.519997
7/13/2005,54.17744516,13166.06935,0.44,2.44,1.77,3.26,1223.3,2239.01001,1.6917,51.21612903,38.3483871,12.86774194,115998.1484,424.6,88.449997
7/14/2005,54.21616559,13168.02163,0.44,2.44,1.77,3.26,1226.5,2250.159912,1.6895,51.21612903,38.3483871,12.86774194,116000.8774,420.2,89.379997
7/15/2005,54.25488602,13169.97391,0.44,2.44,1.77,3.26,1227.9,2250.290039,1.6873,51.21612903,38.3483871,12.86774194,116003.6065,421.3,89.410004
7/18/2005,54.37104731,13175.83075,0.44,2.44,1.77,3.26,1221.1,2248.139893,1.6855,51.21612903,38.3483871,12.86774194,116011.7935,421,89.779999
7/19/2005,54.40976774,13177.78303,0.44,2.44,1.77,3.26,1229.3,2292.919922,1.6885,51.21612903,38.3483871,12.86774194,116014.5226,420.2,89.68
7/20/2005,54.44848817,13179.73531,0.44,2.44,1.77,3.26,1235.2,2309.26001,1.685,51.21612903,38.3483871,12.86774194,116017.2516,422.1,89.980003
7/21/2005,54.4872086,13181.68759,0.44,2.44,1.77,3.26,1227,2311.139893,1.6515,51.21612903,38.3483871,12.86774194,116019.9806,425.7,89.349998
7/22/2005,54.52592903,13183.63987,0.44,2.44,1.77,3.26,1233.7,2319.340088,1.6595,51.21612903,38.3483871,12.86774194,116022.7097,425,88.970001
7/25/2005,54.64209032,13189.49671,0.44,2.44,1.77,3.26,1229,2309.610107,1.6604,51.21612903,38.3483871,12.86774194,116030.8968,425.9,89.75
7/26/2005,54.68081075,13191.44899,0.44,2.44,1.77,3.26,1231.2,2321.77002,1.6694,51.21612903,38.3483871,12.86774194,116033.6258,423.5,89.610001
